Rank,publisher_id,Publisher_name,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
1,3,Electronic Arts,1764,110,983,401275,14.06206196,1,7.693404822,79,28536,1084979.411
2,19,Ubisoft,2426,87,885,377481,13.11153178,2,14.20031261,78,28790,1039824.361
3,2,Sony,1620,60,1014,299713,12.41973313,1,20.70251119,79,24132,837884.3398
4,20,THQ Nordic,896,111,742,287740,15.81162765,2,20.66996373,74,18198,755456.5664
5,4,2K Games,1542,69,913,327091,14.46281394,1,4.615714538,78,327091,877701.2091
6,1,Warners,1298,50,930,257739,12.52071897,2,22.38348312,77,20585,718807.2754
7,15,Bandai Namco,1364,137,830,259569,14.9254787,2,20.1428325,76,17391,690607.5472
8,11,Square Enix,1455,114,883,277154,13.76273711,2,15.16406793,76,20138,753114.0177
9,8,Nintendo,860,47,727,197591,14.32961056,1,20.0440206,74,13789,531178.0319
10,6,SEGA,1079,94,799,209690,14.49737279,2,17.19745575,74,14464,561824.1056
11,36,Nacon,1023,134,613,163547,16.27981286,3,10.46695202,73,10046,425714.9254
12,27,Deep Silver,620,36,689,117671,15.69783885,2,26.86846318,75,7496,308622.5228
13,22,Capcom,742,40,838,121284,14.31248525,1,14.43957989,77,8474,325253.8329
14,273,Microids,706,116,466,109475,19.19940372,3,13.76078569,70,5702,274606.3881
15,234,Outright Games,585,78,543,99921,17.28437987,3,14.43469988,71,5781,256231.8037
16,57,Rockstar Games,415,15,860,85793,12.45181422,1,14.5808418,79,6890,238574.9713
17,71,Milestone,629,50,680,126290,13.92699603,2,0.1688354654,72,9068,341556.7694
18,12,Activision,337,15,808,96939,13.84249607,1,2.619877195,76,7003,262131.3541
19,17,Koei Tecmo,387,44,823,70271,14.75661487,2,18.24632507,75,4762,186315.278
20,45,Xbox Game Studios,397,29,839,61111,14.69367636,1,22.95070931,78,4159,161946.5849
21,24,Focus Entertainment,340,43,600,62363,15.01275879,2,19.850987,73,4154,164891.0923
22,5,Konami,261,26,597,50087,14.79238039,2,19.50029533,73,3386,132721.1134
23,10,Bethesda Softworks,388,28,772,58812,13.89369242,1,11.55161824,76,4233,158218.0456
24,69,Merge Games,216,48,463,58936,21.05609146,3,9.16505895,65,2799,144814.8825
25,44,Modus Games,258,53,423,52494,21.96401674,3,9.378242678,69,2390,127896.2702
26,23,Microsoft,235,9,557,49126,16.82973621,1,15.08975677,68,2919,126236.2186
27,106,Team17,299,49,476,45240,17.59626604,3,14.13418903,70,2571,115075.744
28,37,CD Projekt Red,277,9,823,38404,12.55442955,1,10.64040536,78,3059,105632.8113
29,245,Skybound Games,125,40,398,29538,13.18660714,5,29.93035714,70,2240,80623.81223
30,73,Techland,177,7,589,34251,13.68944844,2,16.29736211,74,2502,92282.65839
31,49,PQube,201,56,363,44930,22.49874812,3,15.33800701,68,1997,108988.9193
32,313,NIS America,429,62,142,44529,26.63217703,3,15.4354067,42,1672,105260.1173
33,325,GameMill Entertainment,133,30,251,31962,24.64302236,3,16.07864302,59,1297,76338.54163
34,397,Krafton,138,7,442,29808,14.59745348,2,27.04358472,70,2042,79119.17258
35,217,Dovetail Games,97,11,256,28526,14.91945607,3,23.98221757,69,1912,75642.11328
36,281,Rebellion Developments,160,11,439,27456,15.25333333,2,21.30611111,69,1800,71982.07289
37,660,Activision,153,9,603,26891,14.70256971,1,22.49753964,71,1829,70819.53034
38,52,Sold Out,132,13,460,30117,16.89119462,3,10.96074033,67,1783,77097.77067
39,72,Frontier Developments,107,11,513,26483,15.07285145,2,11.84519067,72,1757,69477.14172
40,287,Maximum Games,105,22,315,28758,21.65512048,3,14.84262048,64,1328,70131.3637
41,155,Kalypso Media,164,21,356,27144,19.68382886,3,14.08629442,69,1379,67300.98448
42,16,505 Games,140,25,400,27054,19.40746055,4,18.43902439,69,1394,67194.91793
43,48,Paradox Interactive,200,24,390,26831,17.98324397,2,22.40817694,70,1492,67720.51146
44,280,Devolver Digital,149,26,282,25544,18.69985359,5,17.28111274,64,1366,64124.05476
45,319,Saber Interactive,112,14,423,23991,16.83578947,3,23.04210526,68,1425,61358.48589
46,104,IO interactive,101,5,633,24379,11.29703429,2,18,74,2158,69049.86733
47,404,Numskull Games,141,21,243,21927,20.07967033,3,18.05311355,66,1092,54237.71419
48,403,Epic Games,156,17,482,29607,14.65693069,2,5.941584158,67,2020,78381.0445
49,50,Private Division,85,11,602,25006,13.50945435,2,4.79632631,71,1851,67288.99557
50,265,Curve Digital,152,22,318,24506,18.8798151,5,13.66872111,68,1298,61296.22681
51,58,Gearbox Software,92,8,474,23357,16.88864787,2,3.85538684,70,1383,59568.68409
52,56,Wired Productions,83,19,275,17988,17.58357771,3,12.63538612,63,1023,45629.83353
53,163,Wizards of the Coast,78,4,390,18445,13.93126888,2,11,66,1324,49336.33814
54,333,Astragon Entertainment,136,18,341,20427,16.09692671,3,6.195429472,70,1269,52804.54358
55,7,CodeMasters,102,5,526,20436,12.70895522,2,3,71,1608,55866.33806
56,508,Ratalaika Games,51,23,118,9630,9.340446169,5,15.17070805,62,1031,29315.74297
57,162,CI Games,104,11,510,21817,13.41758918,2,1.530750308,69,1626,58832.60043
58,446,Ravenscourt,138,17,132,15850,15.53921569,2,3.255882353,39,1020,41571.89
59,291,Koch Media,151,12,338,21903,15.97592998,3,-0.1167031364,61,1371,56774.98497