,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
2,3,1764,110,983,401275,4.0,1.0,4.0,79,28536,662796.5
15,19,2426,87,885,377481,4.0,2.0,15.0,78,28790,634504.7531803919
3,4,1542,69,913,327091,4.0,1.0,2.0,78,22616,518901.0
16,20,896,111,742,287740,5.0,2.0,14.0,74,18198,469195.3290747442
1,2,1620,60,1014,299713,4.0,1.0,24.0,79,24132,452268.49996954005
9,11,1455,114,883,277154,4.0,2.0,14.0,76,20138,423855.3290747442
12,15,1364,137,830,259569,4.0,2.0,20.0,76,17391,394817.4983369426
0,1,1298,50,930,257739,4.0,2.0,16.0,77,20585,378355.90920014045
5,6,1079,94,799,209690,4.0,2.0,15.0,74,14464,296903.75318039185
7,8,860,47,727,197591,4.0,1.0,20.0,74,13789,286138.4983369426
25,36,1023,134,613,163547,4.0,3.0,7.0,73,10046,229823.7411176571
93,273,706,116,466,109475,6.0,3.0,14.0,70,5702,144136.3290747442
52,71,629,50,680,126290,4.0,2.0,2.0,72,9068,141787.0
20,27,620,36,689,117671,5.0,2.0,25.0,75,7496,124998.49998879441
71,234,585,78,543,99921,5.0,3.0,13.0,71,5781,111814.17623606889
17,22,742,40,838,121284,4.0,1.0,9.0,77,8474,104776.92586326427
115,313,429,62,142,44529,12.0,3.0,9.0,42,1672,67121.42586326427
10,12,337,15,808,96939,4.0,1.0,3.0,76,7003,58169.5
51,69,216,48,463,58936,6.0,3.0,10.0,65,2799,40751.368722222534
30,44,258,53,423,52494,8.0,3.0,5.0,69,2390,31833.5
35,49,201,56,363,44930,6.0,3.0,13.0,68,1997,29861.67623606889
43,57,415,15,860,85793,4.0,1.0,16.0,79,6890,29415.409200140475
19,24,340,43,600,62363,4.0,2.0,14.0,73,4154,25077.829074744193
122,325,133,30,251,31962,8.0,3.0,25.0,59,1297,24620.999988794407
69,217,97,11,256,28526,4.0,3.0,13.0,69,1912,16811.67623606889
56,106,299,49,476,45240,5.0,3.0,14.0,70,2571,10858.829074744195
175,419,85,27,162,17226,8.0,2.0,14.0,57,648,9257.829074744195
303,657,19,5,29,4475,38.0,2.0,34.0,15,66,9184.499999998618
193,446,138,17,132,15850,8.0,2.0,2.0,39,1020,9166.5
82,251,85,20,91,10398,8.0,3.0,25.0,38,408,9162.999988794407
476,916,1,1,1,120,120.0,3.0,52.0,1,1,7375.0
344,734,3,3,1,72,24.0,4.0,52.0,1,3,7167.0
345,736,2,2,1,48,24.0,4.0,52.0,1,2,7127.5
447,872,6,2,27,1188,24.0,2.0,72.0,12,42,6779.0
474,914,1,1,1,240,120.0,3.0,40.0,1,2,6416.499999999996
478,918,2,2,1,240,120.0,4.0,40.0,1,2,6407.499999999996
291,643,27,10,26,3136,24.0,3.0,27.0,14,89,6308.4999984834885
337,727,2,2,1,48,24.0,3.0,43.5,1,2,6276.5
497,940,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
489,931,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
488,930,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
480,920,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
505,950,1,1,1,120,120.0,4.0,40.0,1,1,6175.999999999996
485,925,1,1,1,120,120.0,3.0,40.0,1,1,6174.999999999996
350,741,4,2,1,96,24.0,3.0,40.0,1,4,6019.499999999996
353,744,3,3,1,72,24.0,3.0,40.0,1,3,5965.999999999996
347,738,2,2,1,48,24.0,3.0,40.0,1,2,5926.499999999996
475,915,1,1,1,240,120.0,3.0,35.0,1,2,5916.499999999492
182,427,3,3,2,112,24.0,3.0,40.0,2,4,5867.999999999996
406,824,9,3,8,736,36.0,4.0,38.0,4,21,5857.4999999999745
41,55,2,2,1,360,120.0,3.0,32.0,1,3,5847.999999989782
448,874,1,1,1,2,2.0,2.0,40.0,1,1,5819.999999999996
351,742,3,3,2,84,24.0,4.0,40.0,2,4,5812.999999999996
90,267,1,1,2,64,32.0,4.0,40.0,2,2,5797.999999999996
102,287,105,22,315,28758,6.0,3.0,14.0,64,1328,5779.329074744195
513,959,1,1,1,120,120.0,3.0,36.0,1,1,5774.999999999813
511,957,1,1,1,120,120.0,3.0,36.0,1,1,5774.999999999813
86,262,1,1,2,42,21.0,2.0,40.0,2,2,5740.999999999996
462,893,1,1,2,36,18.0,3.0,40.0,2,2,5726.999999999996
340,730,13,3,27,2841,8.0,2.0,28.0,11,75,5689.999999442107
503,946,1,1,1,120,120.0,4.0,35.0,1,1,5675.999999999492
512,958,1,1,1,120,120.0,3.0,35.0,1,1,5674.999999999492
111,309,76,24,87,8823,8.0,3.0,15.0,31,332,5614.253180391826
62,169,3,3,4,158,24.0,3.0,40.0,4,7,5605.499999999996
349,740,3,3,4,154,24.0,3.0,40.0,4,6,5595.999999999996
496,939,1,1,1,120,120.0,3.0,34.0,1,1,5574.999999998618
508,953,1,1,1,120,120.0,3.0,34.0,1,1,5574.999999998618
483,923,1,1,1,120,120.0,3.0,34.0,1,1,5574.999999998618
487,929,1,1,1,120,120.0,2.0,34.0,1,1,5573.999999998618
164,404,141,21,243,21927,8.0,3.0,23.0,66,1092,5525.999917201246
346,737,1,1,3,29,3.0,3.0,40.0,3,3,5519.999999999996
242,534,8,4,5,522,40.0,3.0,32.5,3,8,5398.499999993803
98,280,149,26,282,25544,4.0,5.0,16.0,64,1366,5388.909200140475
499,942,1,1,1,120,120.0,3.0,32.0,1,1,5374.999999989782
130,336,1,1,3,125,3.0,3.0,36.0,3,3,5311.999999999813
348,739,2,2,3,90,24.0,3.0,36.0,3,4,5254.499999999813
510,956,1,1,1,240,120.0,3.0,28.0,1,2,5216.499999442107
481,921,1,1,1,120,120.0,4.0,30.0,1,1,5175.999999924497
504,949,2,2,1,240,120.0,3.0,27.5,1,2,5156.499999080189
441,864,2,2,2,8,2.0,3.0,35.0,1,4,5147.499999999492
18,23,235,9,557,49126,5.0,1.0,15.0,68,2919,5142.253180391826
455,886,7,5,5,312,24.0,3.0,34.0,1,13,5114.999999998618
261,601,4,4,2,200,50.0,3.0,29.5,2,4,5009.9999998755175
484,924,1,1,1,120,120.0,2.0,28.0,1,1,4973.999999442107
327,687,3,1,4,564,120.0,2.0,24.0,3,7,4925.99996954004
142,355,64,24,110,10270,3.0,4.0,14.0,62,711,4883.829074744195
356,747,2,1,5,438,75.0,2.0,28.0,3,6,4850.499999442107
442,865,2,1,4,94,12.0,4.0,33.0,3,7,4782.999999996241
493,936,1,1,1,120,120.0,3.0,26.0,1,1,4774.9999958776925
464,895,2,1,4,67,12.0,4.0,33.0,3,4,4724.499999996241
443,866,1,1,2,24,12.0,4.0,30.0,1,2,4697.499999924497
424,845,1,1,1,120,120.0,4.0,25.0,1,1,4675.999988794407
486,926,1,1,1,120,120.0,3.0,25.0,1,1,4674.999988794407
270,612,3,2,5,1080,120.0,4.0,13.0,1,9,4673.176236068891
465,896,1,1,1,12,12.0,3.0,28.0,1,1,4650.999999442107
444,868,1,1,1,3,3.0,2.0,28.0,1,1,4622.999999442107
330,693,13,3,19,1371,24.0,2.0,32.0,11,64,4589.499999989782
472,903,1,1,1,2,2.0,3.0,27.0,1,1,4520.9999984834885
355,746,2,1,4,108,24.0,3.0,30.0,2,4,4516.999999924497
280,626,2,2,1,240,120.0,3.0,21.0,1,2,4506.499388195359
85,261,3,1,4,57,7.5,4.0,31.0,4,4,4497.499999972224
458,889,3,1,5,110,24.0,2.0,31.0,3,5,4438.999999972224
492,935,1,1,1,120,120.0,4.0,22.0,1,1,4375.999774929651
479,919,1,1,1,120,120.0,3.0,22.0,1,1,4374.999774929651
190,443,1,1,1,120,120.0,3.0,22.0,1,1,4374.999774929651
416,836,1,1,1,120,120.0,5.0,21.0,1,1,4276.999388195359
495,938,1,1,1,120,120.0,3.0,21.0,1,1,4274.999388195359
450,879,3,1,6,201,19.5,4.0,29.0,4,6,4240.4999997947625
168,409,1,1,1,30,30.0,3.0,23.0,1,1,4204.999917201246
336,724,2,2,2,108,36.0,4.0,23.0,1,3,4180.999917201246
506,951,1,1,1,120,120.0,4.0,19.0,1,1,4075.995479341186
33,47,136,18,172,15438,8.0,3.0,15.0,46,745,4033.2531803918264
95,277,1,1,10,155,6.0,2.0,35.0,9,11,4028.9999999994916
456,887,8,2,6,416,24.0,3.0,22.0,3,16,3966.499774929651
470,901,3,2,3,47,2.5,3.0,24.0,3,4,3943.9999695400406
454,885,3,1,14,218,4.5,2.0,40.0,10,14,3932.4999999999964
473,904,1,1,2,4,2.0,3.0,22.0,1,2,3846.499774929651
490,933,1,1,1,120,120.0,4.0,16.0,1,1,3775.909200140475
507,952,1,1,1,120,120.0,4.0,16.0,1,1,3775.909200140475
494,937,1,1,1,120,120.0,3.0,16.0,1,1,3774.909200140475
400,808,1,1,12,168,2.0,4.0,35.0,12,13,3697.4999999994916
264,605,2,1,2,63,31.5,4.0,19.0,2,2,3692.495479341186
249,543,2,2,2,160,40.0,3.0,17.0,1,4,3689.4665965984195
463,894,1,1,1,24,24.0,4.0,18.0,1,1,3687.9877115752934
501,944,1,1,1,120,120.0,3.0,15.0,1,1,3674.7531803918264
498,941,1,1,1,120,120.0,3.0,15.0,1,1,3674.7531803918264
394,799,2,1,5,17,3.0,3.0,25.0,5,5,3636.999988794407
514,960,1,1,1,120,120.0,3.0,14.0,1,1,3574.329074744195
459,890,2,2,3,146,24.0,2.0,18.0,3,3,3563.9877115752934
354,745,4,2,12,444,24.0,2.0,28.0,6,18,3557.9999994421064
449,878,2,1,7,93,8.0,4.0,26.0,5,7,3537.9999958776925
263,604,5,1,10,282,30.0,4.0,27.0,5,10,3493.499998483488
323,681,4,4,2,480,120.0,2.0,9.0,1,4,3488.9258632642723
293,647,22,7,37,3383,24.0,3.0,13.0,16,100,3474.176236068891
460,891,5,4,6,72,3.0,3.0,24.0,5,8,3441.4999695400406
398,806,12,3,20,857,24.0,4.0,32.0,12,46,3359.999999989782
104,290,3,1,5,117,19.5,2.0,20.0,3,6,3349.9983369425618
468,899,2,1,3,44,2.0,2.0,18.0,2,3,3344.4877115752934
185,438,6,3,12,676,35.0,4.0,21.0,7,18,3322.4993881953587
318,674,2,1,5,51,6.0,4.0,21.0,5,5,3308.9993881953587
92,269,5,2,15,473,24.0,3.0,30.0,10,25,3286.4999999244974
477,917,1,1,1,120,120.0,4.0,11.0,1,1,3262.524106001829
466,897,2,1,2,42,21.0,3.0,15.0,2,2,3238.7531803918264
453,882,2,1,2,160,80.0,3.0,12.0,2,2,3229.0424956466672
332,712,7,3,15,735,36.0,3.0,24.0,8,16,3194.9999695400406
352,743,6,2,19,566,24.0,2.0,34.0,9,28,3152.499999998617
482,922,1,1,1,120,120.0,4.0,10.0,1,1,3139.3687222225317
491,934,1,1,1,120,120.0,3.0,10.0,1,1,3138.3687222225317
313,668,2,2,4,168,18.0,3.0,15.0,3,4,3124.2531803918264
245,539,32,11,40,3482,24.0,4.0,12.0,23,115,2998.0424956466672
334,721,3,2,8,260,24.0,2.0,19.0,3,9,2997.995479341186
446,871,4,2,11,231,5.0,3.0,25.0,8,16,2991.999988794407
500,943,1,1,1,120,120.0,4.0,9.0,1,1,2976.4258632642723
452,881,3,2,4,520,120.0,3.0,8.0,2,5,2957.8294335267747
236,521,1,1,5,53,4.0,4.0,17.0,4,5,2913.4665965984195
27,40,4,2,15,426,36.0,3.0,27.0,8,15,2891.499998483488
118,320,2,2,6,30,5.0,1.0,19.0,4,6,2876.995479341186
265,607,6,4,14,233,3.0,4.0,28.0,6,27,2750.4999994421064
269,611,9,3,21,2245,36.0,4.0,7.0,8,45,2737.7411176571154
467,898,3,2,2,44,2.0,3.0,10.0,2,3,2678.8687222225317
509,955,2,1,3,12,3.0,2.0,12.0,3,3,2677.0424956466672
335,722,3,1,7,345,36.0,4.0,12.0,6,7,2662.5424956466672
225,508,51,23,118,9630,3.0,5.0,13.0,62,1031,2589.676236068891
431,854,4,1,9,565,40.0,3.0,10.0,6,9,2513.8687222225317
471,902,1,1,2,4,2.0,4.0,9.0,1,2,2447.9258632642723
331,711,3,2,5,106,24.0,3.0,11.0,4,5,2412.024106001829
184,437,2,1,7,322,30.0,4.0,10.0,6,7,2381.8687222225317
70,228,7,4,47,768,3.0,5.0,72.0,45,53,2337.0
194,447,11,3,10,423,12.0,3.0,12.0,7,21,2237.0424956466672
407,825,2,2,6,46,3.0,3.0,12.0,4,6,2204.0424956466672
207,477,5,2,15,263,4.0,5.0,23.0,10,17,2136.499917201246
100,283,85,22,155,12790,8.0,2.0,19.0,52,617,2132.495479341186
89,266,2,1,5,20,3.0,3.0,10.0,5,6,2107.8687222225317
317,673,6,2,19,1455,30.0,3.0,8.0,10,29,2068.8294335267747
314,669,11,6,11,209,6.0,3.0,16.0,7,26,2014.409200140475
396,802,1,1,12,168,2.0,4.0,18.0,12,13,1997.4877115752934
295,649,25,3,40,2702,27.0,3.0,17.0,19,88,1979.4665965984195
457,888,4,1,21,289,3.0,2.0,31.0,13,21,1921.9999999722243
84,254,2,1,10,111,5.5,4.0,14.0,8,10,1836.829074744195
436,859,4,2,39,1795,4.0,3.0,30.0,39,155,1802.9999999244974
4,5,261,26,597,50087,4.0,2.0,29.0,73,3386,1770.4999997947623
358,755,18,5,46,3566,24.0,1.0,9.0,23,112,1767.925863264272
343,733,7,2,30,742,24.0,3.0,35.0,14,41,1644.4999999994914
439,862,2,1,2,5,2.5,4.0,7.0,2,2,1611.7411176571154
469,900,1,1,2,4,2.0,2.0,7.0,1,2,1609.7411176571154
385,789,3,1,12,98,5.0,4.0,15.0,5,12,1549.2531803918266
357,748,3,2,6,44,3.0,2.0,8.0,4,9,1534.8294335267747
258,597,5,1,26,710,24.0,3.0,27.0,12,35,1503.499998483488
110,308,114,16,190,15266,6.0,4.0,25.0,47,715,1483.999988794407
189,442,3,1,12,115,4.0,5.0,12.0,11,12,1281.5424956466672
401,809,7,2,16,787,36.0,3.0,8.0,9,23,1266.3294335267747
91,268,87,19,95,6957,8.0,3.0,22.0,35,405,1255.9997749296506
201,460,6,2,19,552,14.5,4.0,15.0,13,20,1206.7531803918266
250,579,8,2,17,367,4.5,3.0,15.0,11,24,1184.7531803918266
284,632,5,2,15,512,30.0,3.0,9.0,10,18,1160.425863264272
366,765,16,6,46,2441,2.0,5.0,22.0,46,274,1152.9997749296506
430,852,7,3,7,1016,120.0,4.0,1.0,4,15,978.5
326,686,4,2,5,603,120.0,2.0,4.0,2,6,812.0
14,17,387,44,823,70271,4.0,2.0,8.0,75,4762,648.8294335267747
165,405,4,1,50,1789,4.0,5.0,38.0,49,139,600.9999999999748
61,166,4,1,15,223,5.0,3.0,9.0,13,16,565.925863264272
202,470,2,1,21,244,2.0,4.0,18.0,21,22,544.4877115752934
502,945,1,1,1,120,120.0,3.0,3.0,1,1,475.0
315,670,6,3,10,144,6.0,3.0,7.0,6,20,455.2411176571154
133,341,3,1,3,244,60.0,3.0,4.0,3,5,404.0
28,42,43,8,105,7178,8.0,2.0,26.0,36,324,384.99999587769275
259,598,7,1,34,900,36.0,4.0,25.0,16,39,258.49998879440705
21,28,2,1,3,75,36.0,1.0,5.0,3,3,140.0
365,764,8,3,23,511,8.0,4.0,12.0,12,34,101.04249564666725
461,892,2,1,4,96,24.0,3.0,6.0,1,4,92.5
260,599,16,6,23,830,24.0,3.0,8.0,12,42,55.329433526774665
397,803,5,2,19,324,3.0,4.0,9.0,15,20,43.92586326427204
126,330,1,1,1,40,40.0,5.0,1.0,1,1,37.0
276,620,5,1,38,1380,24.0,4.0,19.0,16,40,-106.00452065881404
299,653,2,1,3,132,36.0,3.0,1.0,2,4,-143.0
223,506,10,5,54,2174,2.0,4.0,29.0,54,237,-148.5000002052377
298,652,5,3,4,67,3.0,4.0,4.0,4,7,-202.5
377,780,8,2,45,1584,2.0,3.0,24.5,45,182,-219.50001847489943
329,689,7,1,37,912,6.0,2.0,25.0,18,37,-291.50001120559295
76,244,98,13,211,16468,4.0,3.0,17.0,62,910,-326.0334034015805
302,656,4,2,7,952,120.0,2.0,-11.0,4,11,-341.5
37,51,3,1,17,364,3.0,3.0,7.0,11,17,-346.7588823428846
300,654,1,1,5,66,3.0,3.0,4.0,5,5,-362.0
273,617,25,6,41,3277,8.0,2.0,3.0,21,142,-409.5
167,407,4,1,32,440,8.0,3.0,23.0,15,35,-528.0000827987542
244,538,11,2,39,1361,24.0,3.0,17.0,18,51,-532.5334034015805
281,627,7,2,21,1550,27.0,2.0,1.0,10,32,-533.0
417,837,2,2,40,910,4.0,4.0,26.5,40,80,-602.0000025003058
445,870,13,2,45,1401,8.0,3.0,26.0,19,69,-627.0000041223072
392,796,8,2,25,437,8.0,3.0,10.0,15,25,-644.6312777774685
65,188,10,3,52,2154,7.0,3.0,23.0,30,88,-646.0000827987542
246,540,14,4,38,1652,24.0,2.0,9.0,17,54,-690.074136735728
319,675,6,2,26,565,6.0,3.0,9.0,20,39,-704.074136735728
146,366,11,1,51,1642,12.0,4.0,31.0,24,56,-724.0000000277757
63,171,3,1,37,1122,30.0,4.0,16.0,17,38,-732.5907998595251
324,682,5,2,42,829,4.0,2.0,31.0,40,45,-737.5000000277757
309,664,2,1,8,44,5.0,3.0,6.0,5,8,-742.5
206,476,16,7,38,1108,8.0,3.0,17.0,16,83,-877.5334034015805
234,519,28,16,65,3524,3.0,5.0,14.0,46,334,-916.6709252558051
412,831,4,1,41,1484,4.0,3.0,13.0,41,120,-925.3237639311089
414,833,1,1,39,454,4.0,4.0,31.0,39,39,-936.0000000277757
426,847,1,1,39,454,4.0,4.0,31.0,39,39,-936.0000000277757
438,861,1,1,39,454,4.0,4.0,31.0,39,39,-936.0000000277757
294,648,6,1,12,588,33.0,3.0,0.0,8,12,-951.0
121,324,4,1,10,162,3.0,3.0,5.0,9,11,-968.0
243,535,22,5,57,2303,8.0,3.0,26.0,28,85,-1002.5000041223072
376,779,6,3,47,1422,2.0,5.0,24.0,47,143,-1010.0000304599594
409,828,1,1,39,454,4.0,3.0,30.0,39,39,-1037.0000000755026
411,830,2,1,41,575,4.0,3.0,31.0,41,41,-1054.0000000277757
159,399,2,2,41,575,4.0,5.0,31.0,41,41,-1059.0000000277757
399,807,3,2,45,528,2.0,4.0,39.0,44,46,-1070.0000000000093
237,522,39,4,90,5580,12.0,4.0,17.0,33,240,-1092.5334034015805
196,451,8,2,41,1357,24.0,3.0,15.0,19,46,-1098.7468196081734
235,520,117,27,199,14599,6.0,3.0,29.0,54,749,-1102.5000002052377
427,848,1,1,39,454,4.0,4.0,29.0,39,39,-1136.0000002052377
410,829,2,1,41,575,4.0,4.0,30.0,41,41,-1153.0000000755026
